,CD_MUN,NM_MUN,SIGLA_UF,ckey,populacao,nota_veg,nota_area,nota_relevo,nota_p_q1,nota_p_q2,nota_p_q3,nota_p_q4,nota_insalub,nota_insalub_2,area_municip,area_georef,percent_area_georef,num_imoveis,area_car_total,area_car_media,perimetro_total_car,perimetro_medio_car,area_max_perim,nota_total_q1,nota_total_q2,nota_total_q3,nota_total_q4,nota_media,valor_mun_perim,valor_mun_area,mun_nome,valor_medio,valor_medio_car,val_med_car_perim
2,2700102,agua branca,AL,agua branca al,19003,2.464780260621537,4.905586,2.5,4.617391122911112,6.928361908690275,4.357510480956805,6.772302159570214,1,1,49218.717698567554,48554.98912316519,98.65,1851,24848.86,14.580735,2458.05144,1.32796,14.033310139563552,16,19,16,19,18,2204945.8832231998,2903588.3495652783,Água Branca,2554267.116394239,802.7886699081577,1191.2187375598053
62,2700201,anadia,AL,anadia al,13966,2.0954066341864914,2.902951068715493,4.5,4.544363241275009,9.300415300252299,5.50426186216196,6.161292034135011,1,1,19474.364000631835,19045.383322543486,97.8,618,14009.15,27.968019,1255.82957,2.03209,32.8606396773105,16,21,17,18,18,1126516.7991771,1138913.9226881005,Anadia,1132715.3609326002,1355.5779449838187,1822.8427171150486
77,2700300,arapiraca,AL,arapiraca al,233950,2.1022661796049427,8.52861186,4.5,4.526877505936714,8.991138576417699,5.346981862215393,6.2930029149604705,1.1620175051382893,3.754133038652458,36171.924662264326,30456.372955544655,84.2,3135,16480.44,5.985221,2986.09451,0.9525,7.21971584192582,22,26,23,24,24,2678616.3583052997,1821291.1027415702,Arapiraca,2249953.730523435,314.3637358851674,854.4230807991387
34,2700409,atalaia,AL,atalaia al,37455,2.176434167825881,2.6929533289025316,7.5,4.571524638331227,9.44717547228076,5.5828893592778295,6.053607290078883,1,1.731931735012548,55881.169711711744,55136.09310245103,98.67,462,45421.87,111.720277,1997.65883,4.32394,148.78167847633097,19,24,20,20,21,1791959.9002749,3297138.3675265713,Atalaia,2544549.1339007355,5879.281008658008,3878.701082846104
48,2700508,barra de santo antonio,AL,barra de santo antonio al,16307,2.692736413706695,2.1312612561015087,7.5,4.62639916230136,9.923189913345958,5.788385408512669,5.85481687793928,1,1,13802.592187271086,12760.70101893076,92.45,65,11329.21,181.128427,387.8527,5.96696,283.3324969813941,19,24,20,20,21,347915.50748100004,763089.9209320594,Barra de Santo Antônio,555502.7142065298,10422.873199999998,5352.546268938462
10,2700607,barra de sao miguel,AL,barra de sao miguel al,7907,2.5512357221054263,2.3987066264698758,2.5,4.551001637672511,9.836349394214592,5.740805021809832,6.034018249470171,1,3.116396520276984,7793.829321569971,7190.639940427922,92.26,53,5404.38,119.373318,260.87165,4.92211,192.7936680811914,14,19,15,15,16,234009.69619949997,430000.2684375897,Barra de São Miguel,332004.9823185448,6097.772150943396,4415.277286783018
22,2700706,batalha,AL,batalha al,16434,2.245803286778007,4.491627714285714,4.5,4.530191706426056,8.38183207197883,5.047580158906908,6.465087260962981,4.12457248990297,2.143579124023994,34586.18489362826,34221.65768743605,98.95,1369,27181.25,23.798677,2393.60238,1.74843,24.32689245538294,21,25,21,23,22,2147133.1429314,2046455.1297086754,Batalha,2096794.1363200378,1187.3182980277572,1568.395283368444
85,2700805,belem,AL,belem al,4719,2.2267161787016763,7.0344874,4.5,4.545781749004046,9.014207556022749,5.37700877913804,6.2186532601299485,1,1,6967.3823965733345,6826.5647172583085,97.98,501,5102.43,11.324981,565.41413,1.12857,10.135545767244993,20,25,21,22,22,507193.4370339,408228.5700920468,Belém,457711.0035629734,609.0325628742514,1012.3621497682635
98,2700904,belo monte,AL,belo monte al,5935,2.352363482275277,4.560713314285715,4.5,4.527450949067119,8.34345611017396,5.016056272736122,6.504778879024235,1,1,33646.056740530905,33541.176945543324,99.69,1355,25872.32,22.863569,2601.77085,1.92013,29.339411752563656,18,22,18,20,20,2333866.5055755,2005762.3813434907,Belo Monte,2169814.4434594954,1141.8189933579336,1722.4107052217712
56,2701001,boca da mata,AL,boca da mata al,21162,2.2447688384733517,2.7438916367272537,4.5,4.55094271884532,9.459331363049582,5.578405766637435,6.108647584400146,1.005216655316751,2.9331317292786347,20208.000417966967,19814.676335533353,98.05,264,14183.31,56.718977,815.25928,3.0881,75.88795446716428,16,21,17,18,18,731312.0319384,1184917.6448648944,Boca da Mata,958114.8384016473,3212.7346136363635,2770.1213331
